,시간,현월_전력량(W),전월_전력량(W),전전월_전력량(W)
0,2022-04-29 13:23:18.576,2652.01,2652.01,2604.63
1,2022-04-29 13:23:28.702,2652.01,2652.01,2604.63
2,2022-04-29 13:23:38.749,2652.01,2652.01,2604.63
3,2022-04-29 13:23:48.797,2652.01,2652.01,2604.63
4,2022-04-29 13:23:58.931,2652.01,2652.01,2604.63
5,2022-04-29 13:24:09.061,2652.01,2652.01,2604.63
6,2022-04-29 13:24:19.061,2652.01,2652.01,2604.63
7,2022-04-29 13:24:29.109,2652.01,2652.01,2604.63
8,2022-04-29 13:27:25.365,2652.01,2652.01,2604.63
9,2022-04-29 13:27:35.426,2652.01,2652.01,2604.63
10,2022-04-29 13:27:45.522,2652.01,2652.01,2604.63
11,2022-04-29 13:27:55.557,2652.01,2652.01,2604.63
12,2022-04-29 13:28:05.558,2652.01,2652.01,2604.63
13,2022-04-29 13:28:15.632,2652.01,2652.01,2604.63
14,2022-04-29 13:32:15.097,2652.01,2652.01,2604.63
15,2022-04-29 13:32:25.206,2652.01,2652.01,2604.63
16,2022-04-29 13:32:35.207,2652.01,2652.01,2604.63
17,2022-04-29 13:32:45.250,2652.01,2652.01,2604.63
18,2022-04-29 13:32:55.250,2652.01,2652.01,2604.63
19,2022-04-29 13:33:05.266,2652.01,2652.01,2604.63
20,2022-04-29 13:33:16.251,2652.01,2652.01,2604.63
21,2022-04-29 13:33:26.267,2652.01,2652.01,2604.63
22,2022-04-29 13:33:37.268,2652.01,2652.01,2604.63
23,2022-04-29 13:33:47.326,2652.01,2652.01,2604.63
24,2022-04-29 13:33:57.326,2652.09,2652.01,2604.63
25,2022-04-29 13:34:07.327,2652.2,2652.01,2604.63
26,2022-04-29 13:34:17.327,2652.32,2652.01,2604.63
27,2022-04-29 13:34:27.328,2652.43,2652.01,2604.63
28,2022-04-29 13:34:37.332,2652.55,2652.01,2604.63
29,2022-04-29 13:34:47.961,2652.56,2652.01,2604.63
30,2022-04-29 13:35:51.099,2652.56,2652.01,2604.63
31,2022-04-29 13:48:47.583,2652.56,2652.01,2604.63
32,2022-04-29 13:57:19.228,2652.56,2652.01,2604.63
33,2022-04-29 13:57:29.337,2652.56,2652.01,2604.63
34,2022-04-29 14:03:19.093,2652.56,2652.01,2604.63
35,2022-04-29 14:03:29.742,2652.56,2652.01,2604.63
36,2022-04-29 14:03:46.855,2652.56,2652.01,2604.63
37,2022-04-29 14:03:56.943,2652.56,2652.01,2604.63
38,2022-04-29 14:04:06.956,2652.56,2652.01,2604.63
39,2022-04-29 14:04:17.940,2652.56,2652.01,2604.63
40,2022-04-29 14:04:27.999,2652.58,2652.01,2604.63
41,2022-04-29 14:04:38.015,2652.68,2652.01,2604.63
42,2022-04-29 14:04:48.062,2652.79,2652.01,2604.63
43,2022-04-29 14:04:58.079,2652.91,2652.01,2604.63
44,2022-04-29 14:05:08.095,2653.02,2652.01,2604.63
45,2022-04-29 14:05:18.189,2653.14,2652.01,2604.63
46,2022-04-29 14:05:28.189,2653.25,2652.01,2604.63
47,2022-04-29 14:05:38.205,2653.37,2652.01,2604.63
48,2022-04-29 14:05:48.321,2653.42,2652.01,2604.63
49,2022-04-29 14:07:57.167,2653.42,2652.01,2604.63
50,2022-04-29 14:08:08.144,2653.42,2652.01,2604.63
51,2022-04-29 14:08:18.317,2653.42,2652.01,2604.63
52,2022-04-29 14:08:28.333,2653.42,2652.01,2604.63
53,2022-04-29 14:08:38.387,2653.45,2652.01,2604.63
54,2022-04-29 14:08:48.388,2653.56,2652.01,2604.63
55,2022-04-29 14:08:58.482,2653.67,2652.01,2604.63
56,2022-04-29 14:09:09.482,2653.8,2652.01,2604.63
57,2022-04-29 14:09:19.566,2653.92,2652.01,2604.63
58,2022-04-29 14:09:29.582,2654.03,2652.01,2604.63
59,2022-04-29 14:09:39.583,2654.12,2652.01,2604.63
60,2022-04-29 14:09:49.724,2654.12,2652.01,2604.63
61,2022-04-29 14:10:12.354,2654.12,2652.01,2604.63
62,2022-04-29 14:10:22.469,2654.12,2652.01,2604.63
63,2022-04-29 14:10:32.558,2654.12,2652.01,2604.63
64,2022-04-29 14:10:42.606,2654.12,2652.01,2604.63
65,2022-04-29 14:10:52.606,2654.12,2652.01,2604.63
66,2022-04-29 14:11:03.607,2654.12,2652.01,2604.63
67,2022-04-29 14:11:13.592,2654.12,2652.01,2604.63
68,2022-04-29 14:11:23.592,2654.12,2652.01,2604.63
69,2022-04-29 14:11:33.593,2654.12,2652.01,2604.63
70,2022-04-29 14:11:43.609,2654.12,2652.01,2604.63
71,2022-04-29 14:11:54.609,2654.12,2652.01,2604.63
72,2022-04-29 14:12:05.610,2654.12,2652.01,2604.63
73,2022-04-29 14:12:16.595,2654.12,2652.01,2604.63
74,2022-04-29 14:12:26.595,2654.12,2652.01,2604.63
75,2022-04-29 14:12:36.678,2654.12,2652.01,2604.63
76,2022-04-29 14:14:54.468,2654.12,2652.01,2604.63
77,2022-04-29 14:15:04.484,2654.12,2652.01,2604.63
78,2022-04-29 14:15:15.469,2654.12,2652.01,2604.63
79,2022-04-29 14:15:25.485,2654.12,2652.01,2604.63
80,2022-04-29 14:15:36.470,2654.12,2652.01,2604.63
81,2022-04-29 14:15:46.471,2654.12,2652.01,2604.63
82,2022-04-29 14:15:56.471,2654.12,2652.01,2604.63
83,2022-04-29 14:16:06.581,2654.12,2652.01,2604.63
84,2022-04-29 14:16:16.712,2654.12,2652.01,2604.63
85,2022-04-29 14:17:42.136,2654.12,2652.01,2604.63
86,2022-04-29 14:17:52.736,2654.12,2652.01,2604.63
87,2022-04-29 14:18:03.737,2654.12,2652.01,2604.63
88,2022-04-29 14:18:13.784,2654.12,2652.01,2604.63
89,2022-04-29 14:18:23.846,2654.12,2652.01,2604.63
90,2022-04-29 14:18:33.901,2654.12,2652.01,2604.63
91,2022-04-29 14:18:43.917,2654.18,2652.01,2604.63
92,2022-04-29 14:18:54.902,2654.31,2652.01,2604.63
93,2022-04-29 14:19:04.918,2654.43,2652.01,2604.63
94,2022-04-29 14:19:15.903,2654.55,2652.01,2604.63
95,2022-04-29 14:19:25.919,2654.67,2652.01,2604.63
96,2022-04-29 14:19:35.967,2654.79,2652.01,2604.63
97,2022-04-29 14:19:45.983,2654.9,2652.01,2604.63
98,2022-04-29 14:19:55.983,2655.02,2652.01,2604.63
99,2022-04-29 14:20:05.984,2655.14,2652.01,2604.63
100,2022-04-29 14:20:16.106,2655.17,2652.01,2604.63
